MSOA21CD,MSOA21NM,IMD_Decile_Mean,LSOA_Count
E02000708,Merton 020,8.6,5
E02000709,Merton 021,9.6,5
E02000710,Merton 022,4.4,5
E02000711,Merton 023,5.0,5
E02000712,Merton 024,5.2,5
E02000713,Merton 025,8.6,5
E02000714,Newham 001,3.25,4
E02000715,Newham 002,2.0,4
E02000716,Newham 003,2.25,4
E02000717,Newham 004,2.0,4
E02000718,Newham 005,1.75,4
E02000719,Newham 006,2.75,4
E02000720,Newham 007,3.25,4
E02000721,Newham 008,1.8,5
E02000722,Newham 009,2.75,4
E02000723,Newham 010,2.8,5
E02000724,Newham 011,2.6,5
E02000725,Newham 012,2.8,5
E02000727,Newham 014,2.5,4
E02000728,Newham 015,2.8,5
E02000729,Newham 016,3.25,4
E02000730,Newham 017,3.25,4
E02000731,Newham 018,2.0,5
E02000732,Newham 019,2.5,4
E02000733,Newham 020,2.8,5
E02000734,Newham 021,2.5,4
E02000735,Newham 022,2.2,5
E02000736,Newham 023,2.2,5
E02000737,Newham 024,2.4,5
E02000738,Newham 025,3.4,5
E02000739,Newham 026,2.75,4
E02000740,Newham 027,2.5,4
E02000741,Newham 028,2.25,4
E02000742,Newham 029,2.5,4
E02000743,Newham 030,2.0,4
E02000744,Newham 031,2.25,4
E02000745,Newham 032,3.2,5
E02000746,Newham 033,3.3333333333333335,6
E02000747,Newham 034,4.0,8
E02000748,Newham 035,3.5,4
E02000749,Newham 036,2.2,5
E02000751,Redbridge 001,9.0,7
E02000752,Redbridge 002,4.0,4
E02000753,Redbridge 003,4.25,4
E02000754,Redbridge 004,6.75,4
E02000755,Redbridge 005,6.333333333333333,3
E02000756,Redbridge 006,5.857142857142857,7
E02000757,Redbridge 007,8.0,7
