BusinessTypeID,FHRSID,BusinessType,Hygiene,Latitude,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityName,Longitude,RatingValue
4613,1454329,Retailers - other,0.0,51.37368011,22/00040/COMM,507,Croydon,-0.10311,5
7844,1681972,Takeaway/sandwich shop,0.0,51.3520813,23/00762/COMM,507,Croydon,-0.098357998,4
4613,1416416,Retailers - other,10.0,51.38572311,21/00657/COMM,507,Croydon,-0.110459,3
4613,1032233,Retailers - other,0.0,51.35579681,18/00099/COMM,507,Croydon,-0.020889999,5
4613,1603667,Retailers - other,0.0,51.34209824,23/00163/COMM,507,Croydon,-0.015766,4
4613,25070,Retailers - other,0.0,51.33226776,08/00042/COMM,507,Croydon,-0.124429002,4
1,439382,Restaurant/Cafe/Canteen,0.0,51.36376572,12/00264/COMM,507,Croydon,-0.080205001,5
4613,1399364,Retailers - other,0.0,51.33411026,21/00523/COMM,507,Croydon,-0.076692,4
1,15177,Restaurant/Cafe/Canteen,5.0,51.37290192,05/00127/COMM,507,Croydon,-0.100628003,5
4613,10622,Retailers - other,0.0,51.37813187,04/00254/COMM,507,Croydon,-0.124537997,5
1,877611,Restaurant/Cafe/Canteen,0.0,51.38286972,16/00314/COMM,507,Croydon,-0.066298999,5
1,1630890,Restaurant/Cafe/Canteen,0.0,51.3633936,23/00363/COMM,507,Croydon,-0.0978086,5
7840,7107,Retailers - supermarkets/hypermarkets,0.0,51.3624092,02689/0550/0/200,507,Croydon,-0.1192674,5
1,508612,Restaurant/Cafe/Canteen,5.0,51.34366226,00012/0160/0/200,507,Croydon,-0.061934002,4
1,22201,Restaurant/Cafe/Canteen,5.0,51.36444855,07/00143/COMM,507,Croydon,-0.117899999,5
4613,5645,Retailers - other,5.0,51.36736679,01991/0037/0/201,507,Croydon,-0.115942001,4
4613,918520,Retailers - other,5.0,51.36873245,16/00489/COMM,507,Croydon,-0.118069001,4
1,18356,Restaurant/Cafe/Canteen,0.0,51.37380981,06/00112/COMM,507,Croydon,-0.097356997,5
7844,1857419,Takeaway/sandwich shop,10.0,51.3422434,25/00624/COMM,507,Croydon,-0.0159785,4
7840,1681,Retailers - supermarkets/hypermarkets,0.0,51.3219752,00351/0112/0/200,507,Croydon,-0.1371967,5
7840,10617,Retailers - supermarkets/hypermarkets,0.0,51.33236694,04/00252/COMM,507,Croydon,-0.075516999,5
1,1700104,Restaurant/Cafe/Canteen,0.0,51.31631851,24/00079/COMM,507,Croydon,-0.134865999,5
1,1022155,Restaurant/Cafe/Canteen,0.0,51.397892,17/00591/COMM,507,Croydon,-0.075787,5
4613,1764451,Retailers - other,5.0,51.4129604,24/00563/COMM,507,Croydon,-0.1239373,4
7843,1734676,Pub/bar/nightclub,0.0,51.30778485,24/00360/COMM,507,Croydon,-0.10249135,5
7844,1855462,Takeaway/sandwich shop,5.0,51.38609695,25/00588/COMM,507,Croydon,-0.114813,5
1,963588,Restaurant/Cafe/Canteen,5.0,51.3701973,17/00110/COMM,507,Croydon,-0.099676996,5
4613,1691259,Retailers - other,0.0,51.37401581,24/00027/COMM,507,Croydon,-0.104590997,5
7840,1711373,Retailers - supermarkets/hypermarkets,5.0,51.38889313,24/00183/COMM,507,Croydon,-0.090392999,5
1,4849,Restaurant/Cafe/Canteen,5.0,51.37994766,01351/2012/2/200,507,Croydon,-0.073492996,4
